city,colors,shape,state,time
Ithaca,,triangle,NY,6/1/1930 22:00
Willingboro,,other,NJ,6/30/1930 20:00
Holyoke,,oval,CO,2/15/1931 14:00
Abilene,,disk,KS,6/1/1931 13:00
New York Worlds Fair,,light,NY,4/18/1933 19:00
Valley City,,disk,ND,9/15/1934 15:30
Crater Lake,,circle,CA,6/15/1935 0:00
Alma,,disk,MI,7/15/1936 0:00
Eklutna,,cigar,AK,10/15/1936 17:00
Hubbard,,cylinder,OR,6/15/1937 0:00
Fontana,,light,CA,8/15/1937 21:00
Waterloo,,fireball,AL,6/1/1939 20:00
Belton,RED,sphere,SC,6/30/1939 20:00
Keokuk,,oval,IA,7/7/1939 2:00
Ludington,,disk,MI,6/1/1941 13:00
Forest Home,,circle,CA,7/2/1941 11:30
Los Angeles,,,CA,2/25/1942 0:00
Hapeville,,,GA,6/1/1942 22:30
Oneida,,rectangle,TN,7/15/1942 1:00
Bering Sea,RED,other,AK,4/30/1943 23:00
Nebraska,,disk,NE,6/1/1943 15:00
,,,LA,8/15/1943 0:00
,,light,LA,8/15/1943 0:00
Owensboro,,rectangle,KY,10/15/1943 11:00
Wilderness,,disk,WV,1/1/1944 10:00
San Diego,,cigar,CA,1/1/1944 12:00
Wilderness,,disk,WV,1/1/1944 12:00
Clovis,,disk,NM,4/2/1944 11:00
Los Alamos,,disk,NM,6/1/1944 12:00
Ft. Duschene,,disk,UT,6/30/1944 10:00
South Kingstown,,sphere,RI,7/1/1944 20:00
North Tampa,,cylinder,FL,7/15/1944 13:00
Ft. Lee,,cigar,VA,1/1/1945 12:00
Salinas AFB,,disk,CA,6/1/1945 12:00
Jasper,,fireball,FL,6/1/1945 13:30
Winston-Salem,,disk,NC,6/7/1945 7:00
Portsmouth,RED,formation,VA,7/10/1945 1:30
Dallas,,sphere,TX,7/15/1945 14:00
Huntington Beach,,disk,CA,8/8/1945 12:00
San Antonio,,oval,NM,8/16/1945 11:30
Roswell,,sphere,NM,12/15/1945 2:00
New York City,,disk,NY,1/8/1946 2:00
Merced,,sphere,CA,2/1/1946 17:00
Alice,,disk,TX,3/15/1946 15:30
Blairsden,GREEN,sphere,CA,6/30/1946 19:00
Index,,fireball,WA,6/30/1946 21:00
South Portland,,oval,ME,7/1/1946 13:30
Oak Lawn,,formation,IL,9/12/1946 0:00
Dome,,flash,AZ,9/30/1946 20:30
Conroe,,other,TX,1/10/1947 20:00
Syracuse,,disk,NY,2/20/1947 22:15
Miami,,other,FL,4/15/1947 14:00
San Deigo,,triangle,CA,4/15/1947 23:00
Minden,,,LA,6/1/1947 0:00
Cleveland,,light,OH,6/1/1947 2:30
Espanola,,circle,NM,6/1/1947 17:00
Oroville,,,CA,6/1/1947 18:00
Oakmont,,,PA,6/13/1947 20:18
Winona,,disk,MN,6/15/1947 10:00
Gackle,,other,ND,6/15/1947 14:00
Madison,,disk,WI,6/15/1947 18:00
Hayward,,circle,CA,6/20/1947 12:00
Tacoma,,other,WA,6/30/1947 0:00
Baltimore,,oval,MD,6/30/1947 18:00
Cashmere,,formation,WA,7/1/1947 20:00
Maywood,,disk,CA,7/1/1947 20:00
Wexford,BLUE,,PA,7/1/1947 20:00
Sioux Falls,,,SD,7/4/1947 0:00
Seattle,,oval,WA,7/4/1947 17:30
Dell Rapids,,,SD,7/5/1947 0:00
Philadelphia,,disk,PA,7/5/1947 11:30
Roswell,,,NM,7/7/1947 0:00
Johnston City,,disk,IL,7/9/1947 20:00
Roswell,,,NM,7/11/1947 0:00
Syracuse,,cigar,NY,7/14/1947 10:30
Richmond,,circle,CA,7/14/1947 11:00
Las Vegas,,disk,NV,7/15/1947 10:00
Keeneyville,,formation,IL,7/15/1947 12:00
Clintwood,,cylinder,VA,7/15/1947 15:00
Hazelton,,disk,ID,7/15/1947 15:00
Minneapolis,,disk,MN,7/15/1947 17:00
Morehouse,,cylinder,MO,7/15/1947 21:00
San Jose,BLUE,chevron,CA,7/15/1947 21:00
Raton,,oval,NM,7/20/1947 22:00
Modesto,BLUE,disk,CA,8/8/1947 22:00
Green Valley,,,WI,8/10/1947 20:00
Henrietta,,light,OK,8/12/1947 1:00
Saranac Lake,,disk,NY,8/12/1947 22:00
Proctor,,cigar,OK,8/15/1947 20:15
Whitmore Lake,,cigar,MI,12/24/1947 21:00
Kelseyville,,disk,CA,4/30/1948 12:00
Scipio,RED,sphere,IN,5/10/1948 19:00
Borger,,disk,TX,6/15/1948 16:00
Baltimore,,oval,MD,6/30/1948 0:00
Jim Ridge,,,WV,6/30/1948 8:00
Ojai,,light,CA,7/15/1948 22:00
New York City,,circle,NY,8/1/1948 2:00
Conshohocken,,oval,PA,8/15/1948 12:00
Sharpsburg,,circle,MD,12/12/1948 23:30
Seattle,,disk,WA,4/10/1949 15:00
Oak Ridge,,other,WV,5/1/1949 14:00
Grays,,light,SC,5/15/1949 6:30
Los Angeles,,circle,CT,6/4/1949 10:00
Anchorage,,disk,AK,6/10/1949 21:00
Knoxville,,other,TN,6/30/1949 15:00
Salem,,cigar,OR,6/30/1949 21:00
Fairbanks,,disk,AK,7/1/1949 11:00
Marion,,formation,AL,7/1/1949 16:00
Booneville,,,MS,7/15/1949 20:30
Excelsior,,circle,MN,8/15/1949 0:00
Mill Valley,,light,CA,8/15/1949 21:00
Tarrant City,ORANGE,circle,AL,8/15/1949 22:00
Steilacoom,,disk,WA,8/25/1949 19:00
Mt Gilead,,circle,OH,9/15/1949 21:00
Post,,disk,TX,9/15/1949 21:00
San Marcos,,cylinder,TX,10/10/1949 20:30
Lackland AFB,,light,TX,10/10/1949 21:00
Baltimore,,cigar,MD,10/15/1949 20:00
Mount Hope,,,WV,1/1/1950 22:00
New York City,,oval,NY,1/2/1950 0:00
Roswell,RED,,NM,3/22/1950 0:00
Arkansas,,disk,AR,4/15/1950 8:00
Waynesborough,,disk,VA,4/15/1950 14:00
Fort Lewis,,triangle,WA,5/12/1950 14:00
Crowder,,,MS,6/1/1950 0:00
Philadelphia,,disk,MS,6/1/1950 16:00
Pittsburgh,,oval,PA,6/1/1950 20:00
Kensington,,oval,MD,6/7/1950 20:00
Kansas City,,disk,MO,6/8/1950 10:00
Napa,GREEN,disk,CA,6/10/1950 0:00
Grosse Pointe Park,,oval,MI,6/15/1950 13:00
Bonifay,,disk,FL,6/15/1950 20:00
Fort Worth,,disk,TX,6/15/1950 20:00
Booneville,,disk,MS,6/20/1950 10:00
