category,status,goal,funded percentage,duration
Film & Video,successful,10500,1.09952381,30
Games,failed,4000,0.005,47.18
Film & Video,successful,6000,1.089166667,32.22
Fashion,failed,3500,0,30
Film & Video,successful,3500,1.023331429,21.43
Film & Video,failed,1000,0.28,30
Fashion,successful,2000,1.09,30
Music,successful,1000,1.125,67.53
Art,successful,7500,1.311526667,35.29
Music,successful,20000,1.0069105,45.04
Dance,failed,1500,0.05,40.04
Publishing,failed,6500,0.117692308,60.34
Publishing,failed,25000,0,29.96
Film & Video,successful,2000,1.4625,31.04
Publishing,successful,1500,2.34044,21
Theater,failed,4000,0.04375,60
Music,successful,5000,1.372,88.19
Games,failed,600,0.320216667,60
Film & Video,successful,7000,1.004285714,37.34
Publishing,successful,8750,1.006285714,60
Theater,successful,1500,1.003333333,42.96
Film & Video,failed,30000,0.219866667,60
Art,successful,5500,1.029090909,30
Music,successful,2300,1.232608696,26.09
Music,successful,8500,1.016117647,59.96
Design,failed,34000,0.054117647,30
Music,successful,6000,1.020833333,45.28
Theater,failed,8000,0.0125,89.56
Film & Video,successful,1500,1.106666667,30
Comics,failed,3000,0.694,51.13
Photography,failed,10000,0.2575,59.07
Music,successful,650,1.001707692,28.63
Music,successful,6500,1.313863077,57.74
Fashion,failed,2000,0,25.87
Games,failed,7500,0,60
Fashion,failed,18000,0.068166667,45
Games,successful,30000,1.012933333,44.42
Food,failed,80000,0,60
Design,failed,10000,0.1097,30.04
Theater,failed,2500,0.06,40
Games,successful,555,1.21181982,15
Film & Video,failed,15000,0.066666667,84
Fashion,failed,5000,0.01,30
Fashion,failed,5000,0,59.97
Food,failed,100000,0,45
Art,successful,1260,1,30
Film & Video,successful,12000,1.02625,41.54
Music,failed,2500,0,60.04
Photography,failed,10000,0,71.92
Games,successful,1000,2.66466,18.1
Film & Video,successful,2500,1.158404,52.28
Film & Video,successful,1000,1.32,38.15
Film & Video,failed,5000,0.4362,45.93
Film & Video,failed,25000,0.00692,90
Theater,successful,1500,1.223333333,36.8
Art,successful,500,1.126,27.96
Music,failed,10000,0.4845,60.39
Music,failed,10000,0.001,29.98
Technology,failed,15000,0.013666667,30
Art,successful,2000,0.99983,42.97
Film & Video,failed,25000,0.0084,45
Design,failed,55000,0.183236364,16.04
Publishing,failed,7000,0.035714286,31.91
Art,failed,8500,0.081764706,42.19
Photography,failed,20000,0.06,30
Film & Video,successful,7500,1.040533333,30
Technology,successful,2000,1.2885,21
Music,successful,3000,1.05,31
Music,successful,3500,1.037142857,30
Dance,successful,800,1.6125,58.55
Fashion,failed,3500,0.117142857,30
Food,failed,55000,0.046636364,34.43
Games,failed,1680,0.181547619,45.04
Film & Video,successful,7500,1.168933333,44.27
Film & Video,successful,4500,1.015555556,31
Games,successful,5000,1.034,20
Publishing,failed,5000,0,30
Music,successful,1500,1.04,30
Film & Video,failed,50000,0.1578,74.39
Theater,successful,20000,1.1731,45
Film & Video,failed,6000,0.025,28
Film & Video,successful,1000,1.515,20
Publishing,failed,10000,0.231999,71.46
Theater,successful,1500,1.128006667,23.59
Film & Video,failed,37000,0.001351351,60
Music,successful,999.99,1.05701057,30
Film & Video,failed,4000,0.44625,46.7
Games,failed,2000,0.139,55.04
Music,failed,2500,0.008,30
Art,failed,7000,0,32.8
Design,successful,500,1.032,30
Music,successful,7500,1.144133333,45.95
Music,successful,7500,1.146,30
Music,successful,4000,1.63775,59.27
Technology,failed,10000,0.1666,60
Publishing,successful,666,1.000900901,33
Film & Video,failed,7500,0.066666667,32
Music,successful,999,1.302302302,39.96
Food,failed,25000,0.01448,45
Fashion,failed,5000,0.001,30.04
Film & Video,successful,1000,1.153,37.78
Music,successful,500,1.16,45
Publishing,failed,3300,0.125757576,57.16
Publishing,failed,3000,0.194,89.94
Food,failed,3000,0.335,11.96
Film & Video,successful,4000,1.0400925,30
Games,failed,1000,0.012,10
Games,successful,500,1.626,30
Art,successful,500,1,14
Music,successful,30000,1.6855,52.64
Photography,successful,4900,1.045510204,59.95
Music,successful,1100,2.071818182,5
Publishing,failed,35000,0,90.04
Film & Video,successful,5000,1.02,40
Film & Video,successful,6500,1.086924615,43.2
Film & Video,successful,2500,1,24.45
Film & Video,successful,20000,1.12375,30.04
Film & Video,successful,4000,1.015,30.04
Film & Video,failed,25000,0.011,36.91
Music,failed,5000,0.02,37.75
Fashion,successful,7000,1.960714286,26.06
Music,successful,2500,1.06,16.92
Music,successful,3300,1.001675758,30
Technology,failed,7500,0.032133333,45
Music,successful,2000,1.075,20.94
Music,successful,800,1,14.04
Photography,failed,10000,0.307752,61.67
Film & Video,failed,225000,0.000533333,26.08
Theater,successful,7000,1.067857143,44.14
Theater,successful,3000,1.185,30
Music,successful,1000,1.43055,89.9
Film & Video,failed,850,0,60
Film & Video,failed,75000,0.014066667,60
Film & Video,failed,3333.33,0.025500026,22.11
Music,failed,700,0.035714286,89.78
Publishing,failed,5000,0.057,30
Games,failed,7500,0.01,36.98
Film & Video,successful,5000,1.431,30
Art,successful,2500,1,12
Publishing,failed,5000,0.02,30
Comics,successful,2500,1.002,36.04
Art,successful,8000,1.1175,39.37
Theater,failed,5000,0,25
Music,failed,5000,0,30
Art,successful,2500,1.0584,33.1
Film & Video,failed,25000,0.10648,60
Comics,successful,4000,1.3915575,34.15
Film & Video,failed,600,0.05,21
Art,failed,1000,0.401,13.97
Music,successful,1300,1.008461538,14.13
Film & Video,successful,2500,1.098,30
Games,failed,640,0.24375,18
Publishing,successful,1000,1.06,30
Publishing,successful,3000,1.683333333,45.24
Music,successful,5500,1.460343636,40
Comics,successful,60000,1.5850125,45
Publishing,failed,2500,0.016,39.22
Music,failed,10500,0.118095238,67.22
Games,failed,5000,0.12,55.04
Music,successful,6500,1.015538462,30
Dance,successful,5000,1.06,29.96
Fashion,failed,12227.07,0.006542859,29.96
Film & Video,failed,2500,0.312776,32.74
Film & Video,successful,1000,1.675,37.44
Music,successful,10000,1.064727,33.48
Games,failed,46900,0.01652452,30
Games,failed,22000,0.000681818,51
Food,successful,1000,1.438,34.56
Music,failed,3000,0,33
Music,failed,10000,0,84.07
Art,successful,10000,1.035,30
Games,failed,5000,0.108,39.96
Film & Video,failed,2000,0.08,30
Film & Video,failed,19000,0.054473684,62.96
Photography,failed,3000,0.026666667,31.03
Technology,successful,6800,1.602647059,20.47
Music,successful,20000,1.0448,29.95
Film & Video,failed,25000,0.001,44.96
Film & Video,successful,3000,1.02722,40.04
Food,failed,8000,0.349625,30
Theater,successful,1500,1.811333333,40
Music,successful,5000,1.20041,32.92
Film & Video,failed,2500,0.3292,55
Design,successful,3200,1.218546875,90.96
Publishing,failed,50000,0,30
Music,failed,3000,0.37,74.94
Music,successful,2000,2.0385,30
Music,failed,5000,0,30
Film & Video,failed,250000,0.000008,33
Film & Video,failed,7000,0.071428571,30
Publishing,successful,1100,1.005454545,30
Art,successful,2995,1.140233723,24.43
Film & Video,successful,5000,1.4222,49.28
Publishing,failed,1500,0.25,29.04
Music,successful,4000,1.17025,54.34
Music,successful,3000,1.035333333,30.04
Film & Video,successful,500,2.002,29.96
Technology,failed,30000,0.146966667,45.81
Publishing,successful,5000,1.2182,30
Film & Video,failed,9800,0.025,81.89
Publishing,failed,700,0,88.91
Technology,failed,13500,0.394666667,15
Film & Video,failed,25000,0.1154,30.84
Music,failed,17000,0.023823529,50.25
Film & Video,failed,25000,0.0058,37.71
Film & Video,failed,8000,0,40
Photography,failed,1985,0.221662469,52.12
Film & Video,failed,15000,0.09,57.47
Music,failed,1000,0,30
Theater,successful,5500,1.038181818,38
Theater,successful,2000,1.66,26
Publishing,successful,7000,1.069885714,60
Publishing,successful,1850,1.691891892,30
Film & Video,failed,500,0,20
Music,failed,7890,0,30
Film & Video,failed,3000,0.003333333,60.04
Food,failed,5000,0.7486,44.96
Film & Video,successful,700,1.123314286,30
Publishing,failed,1700,0.008823529,30
Art,successful,700,1.277142857,38.15
Film & Video,failed,900,0.416666667,30.04
Film & Video,successful,2000,1.133,14.02
Film & Video,successful,5000,1.039278,39.47
Design,successful,20000,1.0120625,30
Art,successful,1500,1.066666667,30
Fashion,failed,3000,0.263666667,14.1
Publishing,failed,4000,0.0075,30
Fashion,successful,10000,1.321,7.1
Publishing,successful,5000,1.0962,39.09
Film & Video,failed,575,0.008695652,30.61
Film & Video,successful,3500,1.161237143,30.96
Games,successful,5000,1.736754,33.95
Art,successful,2500,1.0084,20
Music,failed,9000,0,30
Music,failed,2100,0.133333333,20
Film & Video,failed,6000,0.156666667,50.98
Art,failed,3000,0,10.58
Film & Video,failed,85000,5.88E-05,49.96
Film & Video,failed,130000,0.002115385,89.96
Photography,failed,8700,0.354712644,86.96
Film & Video,failed,58000,0.00387931,35
Film & Video,failed,950,0,21.03
Publishing,failed,2500,0.1048,26.3
Film & Video,failed,550,0,30
Music,successful,5000,1.253066,50
Music,successful,5000,1.0942,34.16
Music,failed,5000,0.02,89.64
Film & Video,successful,2500,1.2296,60
Film & Video,failed,5000,0.711,38.91
Film & Video,failed,10000,0.073,30
Film & Video,failed,25000,0.02944,54.25
Music,successful,1500,1.014513333,45.29
Publishing,failed,10000,0.0025,30.04
Film & Video,failed,11000,0.692545455,50.18
Film & Video,successful,500,1.23,30
Photography,failed,30000,0,30
Film & Video,successful,20000,1.015,31.17
Design,failed,3000,0.006666667,30
Music,failed,4000,0.045,46.5
Design,successful,7000,1.185571429,60.78
Music,failed,2500,0.2612,47.78
Music,failed,8000,0.13375,56.82
Photography,failed,7500,0.001333333,30
Music,successful,6000,1.018333333,30.04
Music,failed,3000,0,32.03
Film & Video,successful,5000,1.228422,31.17
Film & Video,successful,12500,1.05008,60.04
Film & Video,successful,5000,1.121,30
Music,successful,2000,1.115215,30
Film & Video,successful,10000,1.002599,30
Film & Video,failed,4500,0.023333333,29.96
Music,successful,40000,1.19095025,33.54
Film & Video,successful,1142.5,1.470459519,45.04
Music,successful,1600,1.39625,39.96
Music,failed,3500,0.078571429,41.94
Fashion,successful,5000,1.2992,31
Film & Video,failed,2000,0.0375,20.34
Film & Video,successful,1700,1.047058824,14
Art,failed,6000,0.020166667,19.15
Art,failed,1100,0.622727273,14.5
Art,successful,1200,1.775,8.39
Food,failed,4000,0.06875,30.04
Music,failed,3000,0.029666667,4.86
Film & Video,failed,18000,0.004166667,63.98
Food,failed,25000,0.28984,89.98
Music,successful,1000,1.275,48.81
Music,successful,1500,1.576666667,20.99
Music,successful,22000,1.130454545,73.53
Art,failed,5000,0.2634,45
Theater,failed,20000,0.06125,60
Film & Video,successful,2000,2.0125,45
Art,failed,24000,0.02875,65.35
Photography,failed,1500,0.196666667,89.01
Music,successful,3000,1.6985,30.96
Games,failed,20000,0.00055,40.04
Photography,failed,5000,0.0404,29.96
Film & Video,successful,12000,1.017083333,32
Music,failed,1500,0,40
Music,successful,10000,1.0195,30.96
Art,failed,10000,0.041,89.79
