status,funded date
successful,"Thu, 08 Jul 2010 21:39:00 -0000"
successful,"Fri, 26 Aug 2011 05:00:00 -0000"
successful,"Sat, 31 Mar 2012 14:08:02 -0000"
successful,"Sun, 25 Mar 2012 00:00:00 -0000"
successful,"Wed, 09 Nov 2011 01:01:12 -0000"
successful,"Fri, 02 Mar 2012 17:12:22 -0000"
successful,"Sun, 08 Apr 2012 23:01:18 -0000"
successful,"Fri, 21 Jan 2011 07:59:00 -0000"
successful,"Fri, 16 Dec 2011 22:09:00 -0000"
successful,"Fri, 24 Jun 2011 03:11:30 -0000"
successful,"Mon, 23 Apr 2012 11:42:00 -0000"
successful,"Fri, 14 Jan 2011 07:19:06 -0000"
successful,"Sun, 21 Feb 2010 20:13:00 -0000"
successful,"Wed, 08 Feb 2012 08:57:46 -0000"
successful,"Mon, 21 May 2012 18:04:28 -0000"
successful,"Fri, 02 Dec 2011 22:01:57 -0000"
successful,"Wed, 09 Feb 2011 03:40:29 -0000"
successful,"Tue, 24 Aug 2010 23:24:00 -0000"
successful,"Wed, 23 Mar 2011 19:48:06 -0000"
successful,"Mon, 16 Apr 2012 06:59:00 -0000"
successful,"Wed, 04 Apr 2012 06:10:00 -0000"
successful,"Thu, 29 Sep 2011 01:00:00 -0000"
successful,"Thu, 16 Feb 2012 23:29:20 -0000"
successful,"Fri, 26 Aug 2011 21:06:11 -0000"
successful,"Fri, 17 Feb 2012 17:00:00 -0000"
successful,"Tue, 01 Nov 2011 22:28:27 -0000"
successful,"Mon, 05 Sep 2011 03:51:24 -0000"
successful,"Fri, 16 Mar 2012 11:05:00 -0000"
successful,"Fri, 10 Feb 2012 13:25:49 -0000"
successful,"Sun, 25 Jul 2010 03:59:00 -0000"
successful,"Mon, 05 Mar 2012 17:14:44 -0000"
successful,"Thu, 24 Feb 2011 00:33:00 -0000"
successful,"Fri, 12 Mar 2010 01:28:00 -0000"
successful,"Wed, 20 Jan 2010 14:05:00 -0000"
successful,"Sat, 04 Jun 2011 15:45:00 -0000"
successful,"Wed, 14 Oct 2009 04:27:00 -0000"
successful,"Sun, 01 Jan 2012 07:59:00 -0000"
successful,"Thu, 16 Dec 2010 21:59:38 -0000"
successful,"Mon, 19 Dec 2011 16:42:00 -0000"
successful,"Tue, 31 May 2011 13:00:00 -0000"
successful,"Mon, 21 Feb 2011 05:37:01 -0000"
successful,"Wed, 29 Feb 2012 17:52:09 -0000"
successful,"Sat, 01 Oct 2011 06:59:00 -0000"
successful,"Tue, 03 Nov 2009 04:59:00 -0000"
successful,"Thu, 29 Sep 2011 04:03:56 -0000"
successful,"Thu, 02 Feb 2012 16:40:29 -0000"
successful,"Tue, 26 Oct 2010 02:13:54 -0000"
successful,"Tue, 31 Aug 2010 16:00:00 -0000"
successful,"Sat, 29 May 2010 20:15:00 -0000"
successful,"Mon, 20 Dec 2010 03:41:28 -0000"
successful,"Sun, 19 Feb 2012 01:50:25 -0000"
successful,"Sun, 08 Jan 2012 18:54:44 -0000"
successful,"Tue, 06 Sep 2011 00:00:00 -0000"
successful,"Mon, 30 Jan 2012 13:39:01 -0000"
successful,"Fri, 26 Aug 2011 23:37:41 -0000"
successful,"Sun, 28 Nov 2010 20:33:43 -0000"
successful,"Thu, 01 Sep 2011 04:59:00 -0000"
successful,"Sun, 25 Jul 2010 16:03:00 -0000"
successful,"Thu, 16 Jun 2011 22:35:56 -0000"
successful,"Wed, 09 Nov 2011 20:00:00 -0000"
successful,"Sat, 26 Mar 2011 05:51:37 -0000"
successful,"Thu, 21 Apr 2011 21:35:09 -0000"
successful,"Fri, 30 Apr 2010 03:59:00 -0000"
successful,"Tue, 21 Jun 2011 20:16:57 -0000"
successful,"Mon, 12 Mar 2012 00:00:00 -0000"
successful,"Sun, 27 Jun 2010 18:20:00 -0000"
successful,"Tue, 20 Jul 2010 14:56:00 -0000"
successful,"Thu, 23 Jun 2011 17:55:50 -0000"
successful,"Fri, 02 Mar 2012 16:35:06 -0000"
successful,"Sun, 08 May 2011 21:00:00 -0000"
successful,"Thu, 11 Nov 2010 18:03:49 -0000"
successful,"Wed, 26 Oct 2011 20:36:02 -0000"
successful,"Fri, 16 Apr 2010 03:59:00 -0000"
successful,"Thu, 01 Sep 2011 13:51:37 -0000"
successful,"Sun, 14 Aug 2011 21:00:00 -0000"
successful,"Fri, 18 Mar 2011 21:00:00 -0000"
successful,"Tue, 05 Apr 2011 19:04:35 -0000"
successful,"Tue, 04 Oct 2011 16:19:25 -0000"
successful,"Sat, 07 May 2011 16:59:00 -0000"
successful,"Sat, 05 Feb 2011 04:44:57 -0000"
successful,"Mon, 24 May 2010 16:59:00 -0000"
successful,"Fri, 11 May 2012 13:15:22 -0000"
successful,"Fri, 03 Jun 2011 05:00:00 -0000"
successful,"Wed, 18 Apr 2012 22:00:00 -0000"
successful,"Thu, 05 Apr 2012 23:57:46 -0000"
successful,"Thu, 15 Sep 2011 02:02:59 -0000"
successful,"Thu, 21 Apr 2011 18:46:55 -0000"
successful,"Mon, 22 Aug 2011 20:41:53 -0000"
successful,"Tue, 31 Aug 2010 12:00:00 -0000"
successful,"Tue, 06 Dec 2011 00:10:51 -0000"
successful,"Sun, 25 Sep 2011 20:31:43 -0000"
successful,"Fri, 15 Jul 2011 22:00:00 -0000"
